v_output_type,eta,zeta,i,unsat,sat,timeout
over,0.1,0.1,7,1,0,0
over,0.15,0.01,7,0,1,0
over,0.15,0.05,7,0,0,1
over,0.15,0.1,7,1,0,0
over,0.2,0.01,7,0,1,0
over,0.2,0.05,7,0,1,0
over,0.2,0.1,7,0,0,1
under,0.01,0.01,7,0,1,0
under,0.01,0.05,7,0,1,0
under,0.01,0.1,7,0,1,0
under,0.05,0.01,7,0,1,0
under,0.05,0.05,7,0,1,0
under,0.05,0.1,7,0,1,0
under,0.1,0.01,7,0,1,0
under,0.1,0.05,7,0,1,0
under,0.1,0.1,7,0,1,0
under,0.15,0.01,7,0,1,0
under,0.15,0.05,7,0,1,0
under,0.15,0.1,7,0,1,0
under,0.2,0.01,7,0,1,0
under,0.2,0.05,7,0,1,0
under,0.2,0.1,7,0,1,0
over,0.01,0.01,8,1,0,0
over,0.01,0.05,8,1,0,0
over,0.01,0.1,8,1,0,0
over,0.05,0.01,8,1,0,0
over,0.05,0.05,8,1,0,0
over,0.05,0.1,8,1,0,0
over,0.1,0.01,8,1,0,0
over,0.1,0.05,8,1,0,0
over,0.1,0.1,8,1,0,0
over,0.15,0.01,8,0,1,0
over,0.15,0.05,8,0,0,1
over,0.15,0.1,8,1,0,0
over,0.2,0.01,8,0,1,0
over,0.2,0.05,8,0,1,0
over,0.2,0.1,8,0,0,1
under,0.01,0.01,8,0,1,0
under,0.01,0.05,8,0,1,0
under,0.01,0.1,8,0,1,0
under,0.05,0.01,8,0,1,0
under,0.05,0.05,8,0,1,0
under,0.05,0.1,8,0,1,0
under,0.1,0.01,8,0,1,0
under,0.1,0.05,8,0,1,0
under,0.1,0.1,8,0,1,0
under,0.15,0.01,8,0,1,0
under,0.15,0.05,8,0,1,0
under,0.15,0.1,8,0,1,0
under,0.2,0.01,8,0,1,0
under,0.2,0.05,8,0,1,0
under,0.2,0.1,8,0,1,0
over,0.01,0.01,9,1,0,0
over,0.01,0.05,9,1,0,0
over,0.01,0.1,9,1,0,0
over,0.05,0.01,9,1,0,0
over,0.05,0.05,9,1,0,0
over,0.05,0.1,9,1,0,0
over,0.1,0.01,9,1,0,0
over,0.1,0.05,9,1,0,0
over,0.1,0.1,9,1,0,0
over,0.15,0.01,9,0,1,0
over,0.15,0.05,9,0,0,1
over,0.15,0.1,9,1,0,0
over,0.2,0.01,9,0,1,0
over,0.2,0.05,9,0,1,0
over,0.2,0.1,9,0,0,1
under,0.01,0.01,9,0,1,0
under,0.01,0.05,9,0,1,0
under,0.01,0.1,9,0,1,0
under,0.05,0.01,9,0,1,0
under,0.05,0.05,9,0,1,0
under,0.05,0.1,9,0,1,0
under,0.1,0.01,9,0,1,0
under,0.1,0.05,9,0,1,0
under,0.1,0.1,9,0,1,0
under,0.15,0.01,9,0,1,0
under,0.15,0.05,9,0,1,0
under,0.15,0.1,9,0,1,0
under,0.2,0.01,9,0,1,0
under,0.2,0.05,9,0,1,0
under,0.2,0.1,9,0,1,0
